一一	iq5 iq3
人滿爲患	zen2 moe4 we4 we4
人潮	gnin2 zau4
人烟	zen2 i4
人烟稀少	zen2 i4 shi4 sau4
人煙	gnin2 i4
人煙稀少	zen2 i4 shi4 sau4
人爲	gnin2 we4
人物	gnin2 veq4
人物画	zen2 meq4 wa4
人物畫	zen2 meq4 wa4
人犯	gnin2 ve4
人猿	gnin2 yoe4
人獲	gnin2 weq4
人瑞	gnin2 zoe4
人生	gnin2 sen4
人生在世	zen2 san4 ze4 sy4
人生觀	zen2 san4 kuoe4
人生观	zen2 san4 kuoe4
人用	gnin2 yon4
人畜	gnin2 tshoq4
人的	gnin2 tiq4
人眼	gnin2 nge4
人种	zen2 zon4
人称	zen2 tshen4
人種	gnin2 tson4
人稱	gnin2 tshen4
人类	zen2 le4
人类学	zen2 le4 ghoq4
人类学家	zen2 le4 ghoq4 ka4
人緣	gnin2 yoe4
人缘	zen2 yoe4
人羣	gnin2 jion4
人群	zen2 jiun4
人耳	gnin2 er4
人聲	gnin2 sen4
人聲鼎沸	zen2 san4 tin4 fi4
人脑	zen2 nau4
人脸	zen2 li4
人腦	gnin2 nau4
人臉	zen2 li4
人自	gnin2 zy4
人蔘	gnin2 sen4
人行	zen2 ghan4
人行道	zen2 ghan4 dau4
人要	gnin2 iau4
人見	gnin2 ci4
人論	gnin2 len4
人證	gnin2 tsen4
人販	gnin2 fe4
人販子	zen2 fe4 tsy4
人質	gnin2 tseq4
人质	zen2 tseq4
人贩子	zen2 fe4 tsy4
人跡	gnin2 tsiq4
人跡罕至	zen2 tsiq4 hoe4 tsy4
人身	gnin2 sen4
人身自由	zen2 sen4 zy4 yeu4
人迹	zen2 tsiq4
人迹罕至	zen2 tsiq4 hoe4 tsy4
人选	zen2 si4
人造	gnin2 zau4
人造人	gnin2 zau4 gnin4
人造卫星	zen2 zau4 we4 sin4
人造衛星	zen2 zau4 we4 sin4
人道	gnin2 dau4
人道主义	zen2 dau4 tsy4 gni4
人道主義	zen2 dau4 tsy4 gni4
人選	gnin2 si4
人間	gnin2 ci4
人间	zen2 ci4
人防	gnin2 vaon4
人际	zen2 tsi4
人际关系	zen2 tsi4 kue4 shi4
人際	gnin2 tsi4
人際關系	zen2 tsi4 kue4 shi4
人面	zen2 mi4
人須	gnin2 siu4
人頭	gnin2 deu4
人頭攢動	zen2 deu4 tsoe4 don4
人願	gnin2 gnioe4
人類	zen2 le4
人類學	zen2 le4 ghoq4
人類學家	zen2 le4 ghoq4 ka4
人馬	gnin2 mo4
人马	zen2 ma4
人體	gnin2 thi4
人龍	zen2 lon4
人龙	zen2 lon4
亿万	i5 moq3
亿人次	i5 zen9 tshy3
亿元	i5 gnioe3
亿公顷	i5 kon9 chin3
亿千瓦	i5 tshi9 ngo3
亿千瓦时	i5 tshi9 ngo9 zy3
亿吨	i5 ten3
亿多	i5 tu3
亿多元	i5 tu9 gnioe3
亿年	i5 gni3
亿度	i5 du3
亿日元	i5 zeq9 gnioe3
亿株	i5 tsy3
亿港元	i5 kaon9 gnioe3
亿立方米	i5 liq9 faon9 mi3
亿美元	i5 mhe9 gnioe3
亿股	i5 ku3
亿英镑	i5 in9 paon3
什么	zeq2 iau4
什么样	zeq2 iau4 yan4
什叶派	zeq2 yaq4 pha4
什樣錦	zeq2 yan4 cin4
什物	zeq2 meq4
什葉	zeq2 yiq4
什葉派	zeq2 yiq4 pha4
什錦	zeq2 cin4
什麼	zeq2 meq4
什麼樣	zeq2 meq4 yan4
仁义	zen2 gni4
仁义道德	zen2 gni4 dau4 teq4
仁人	gnin2 gnin4
仁兄	zen2 shion4
仁化	gnin2 ho4
仁厚	gnin2 gheu4
仁壽	zen2 zeu4
仁宗	gnin2 tson4
仁寿	zen2 zeu4
仁川	zen2 tshoe4
仁德	gnin2 teq4
仁心	gnin2 sin4
仁愛	gnin2 e4
仁慈	gnin2 zy4
仁政	gnin2 tsen4
仁武	gnin2 wu4
仁爱	zen2 e4
仁義	gnin2 gni4
仁義道德	zen2 gni4 dau4 teq4
仁者	gnin2 tse4
仄聲	tseq5 sen3
仅仅	jin2 jin4
仅供参考	jin2 kon4 tshoe4 khau4
仅次于	jin2 tshy4 yu4
仆人	phoq5 zen3
仆从	phoq5 zon3
仆妇	phoq5 vu3
仆役	phoq5 yoq3
仇人	zeu2 gnin4
仇家	zeu2 ka4
仇怨	zeu2 ioe4
仇恨	zeu2 ghen4
仇敌	zeu2 diq4
仇敵	zeu2 diq4
仇殺	zeu2 saq4
仇視	zeu2 zy4
仇觀	zeu2 kuoe4
仇视	zeu2 zy4
仇警	zeu2 cin4
今世	cin5 sy3
今人	cin5 gnin3
今個	cin5 ku3
今儿	cin5 gni3
今儿个	cin5 gni9 gheq3
今兒	cin5 er3
今兒個	cin5 gni9 ku3
今后	cin5 gheu3
今夏	cin5 gho3
今夜	cin5 ya3
今天	cin5 thi3
今年	cin5 gni3
今年仔	cin5 gni9 tsy3
今年初	cin5 gni9 tshu3
今後	cin5 gheu3
今德	cin5 teq3
今文	cin5 ven3
今日	cin5 gniq3
今春	cin5 tshen3
今晚	cin5 ue3
今朝	cin5 tsau3
今朝仔	cin5 tsau9 tsy3
今期	cin5 ji3
今正阳	cin5 tsen9 yan3
今正陽	cin5 tsen9 yan3
今生	cin5 sen3
今生今世	cin5 san9 cin9 sy3
今番	cin5 fe3
介乎	ka5 wu3
介于	ka5 yu3
介入	ka5 zeq3
介多	ka5 tu3
介子	ka5 tsy3
介容易	ka5 yon9 i3
介快	ka5 khua3
介意	ka5 i3
介懷	ka5 we3
介於	ka5 yu3
介殼	ka5 khoq3
介紹	ka5 zau3
介紹信	ka5 zau9 sin3
介紹所	ka5 zau9 su3
介結棍	ka5 ciq9 kuen3
介绍	ka5 zau3
介绍信	ka5 zau9 sin3
介绍所	ka5 zau9 su3
介老實	ka5 lau9 zeq3
介聽伊	ka5 thin9 yi3
介詞	ka5 zy3
介词	ka5 zy3
介質	ka5 tseq3
介质	ka5 tseq3
介面	ka5 mi3
介音	ka5 in3
仍不	gnin2 peq4
仍以	gnin2 i4
仍可	gnin2 khu4
仍在	gnin2 ze4
仍嫌	gnin2 yi4
仍將	gnin2 tsian4
仍對	gnin2 te4
仍屬	gnin2 zoq4
仍待	gnin2 de4
仍很	gnin2 hen4
仍應	gnin2 in4
仍旧	zen2 jieu4
仍是	gnin2 zy4
仍會	gnin2 we4
仍有	gnin2 yeu4
仍未	gnin2 vi4
仍無	gnin2 wu4
仍然	gnin2 zoe4
仍爲	gnin2 we4
仍用	gnin2 yon4
仍由	gnin2 yeu4
仍能	gnin2 nen4
仍舊	zen2 jieu4
仍被	gnin2 be4
仍要	gnin2 iau4
仍較	gnin2 ciau4
仍需	gnin2 siu4
仍須	gnin2 siu4
仍顯	gnin2 shi4
从不	zon2 peq4
从业	zon2 gniq4
从业者	zon2 gniq4 tse4
从严	zon2 gni4
从中	zon2 tson4
从事	zon2 zy4
从今	zon2 cin4
从今以后	zon2 cin4 i4 gheu4
从军	zon2 ciun4
从前	zon2 zi4
从古到今	zon2 ku4 tau4 cin4
从命	zon2 min4
从大清	zon2 du4 tshin4
从天而降	zon2 thi4 er4 cian4
从头	zon2 deu4
从头到尾	zon2 deu4 tau4 vi4
从头至尾	zon2 deu4 tsy4 vi4
从容	zon2 yon4
从容不迫	zon2 yon4 peq4 phaq4
从宽	zon2 khuoe4
从小	zon2 siau4
从小儿	zon2 siau4 gni4
从小到大	zon2 siau4 tau4 du4
从属	zon2 zoq4
从师	zon2 sy4
从政	zon2 tsen4
从无到有	zon2 wu4 tau4 yeu4
从早到晚	zon2 tsau4 tau4 ue4
从未	zon2 vi4
从未有过	zon2 vi4 yeu4 ku4
从来	zon2 le4
从来不	zon2 le4 peq4
从此	zon2 tshy4
从此以后	zon2 tshy4 i4 gheu4
从江	zon2 cian4
从没	zon2 meq4
从而	zon2 er4
从轻	zon2 chin4
从速	zon2 soq4
从重	zon2 zon4
从长计议	zon2 tsan4 ci4 gni4
仓促	tshaon5 tshoq3
仓储	tshaon5 zy3
仓卒	tshaon5 tseq3
仓库	tshaon5 khu3
仓猝	tshaon5 tshoq3
仓皇	tshaon5 waon3
仔仔	tsy5 tsy3
仔畜	tse5 tshoq3
仔細	tsy5 si3
仔细	tsy5 si3
仔豬	tse5 tsy3
仔雞	tse5 ci3
仔魚	tse5 ng3
仕女	zy2 gniu4
仕途	zy2 du4
他不	tha5 peq3
他也	tha5 gha3
他人	tha5 gnin3
他仍	tha5 gnin3
他们	tha5 men3
他俩	tha5 lian3
他倆	tha5 lian3
他個	tha5 ku3
他們	tha5 men3
他又	tha5 yeu3
他叫	tha5 ciau3
他呢	tha5 gni3
他問	tha5 ven3
他喝	tha5 heq3
他嗎	tha5 mo3
他国	tha5 koq3
他國	tha5 koq3
他妈的	tha5 mha9 tiq3
他媽的	tha5 mha9 tiq3
他學	tha5 ghoq3
他家	tha5 ka3
他將	tha5 tsian3
他於	tha5 yu3
他日	tha5 zeq3
他更	tha5 ken3
他曾	tha5 zen3
他會	tha5 we3
他杀	tha5 saq3
他死	tha5 sy3
他殺	tha5 saq3
他無	tha5 wu3
他爸	tha5 pa3
他物	tha5 veq3
他生	tha5 sen3
他用	tha5 yon3
他能	tha5 nen3
他被	tha5 be3
他說	tha5 seq3
他講	tha5 kaon3
他還	tha5 we3
仗义	tsan5 gni3
仗勢	zan2 sy4
仗恃	zan2 zy4
仗着	zan2 zaq4
仗義	zan2 gni4
仗膽	zan2 te4
付与	fu5 yu3
付之一炬	fu5 tsy9 iq9 jiu3
付予	fu5 yu3
付出	fu5 tsheq3
付托	fu5 thoq3
付款	fu5 khue3
付海峯	fu5 he9 fon3
付海峰	fu5 he9 fon3
付清	fu5 tshin3
付給	fu5 ciq3
付给	fu5 ciq3
付與	fu5 yu3
付託	fu5 thoq3
付諸	fu5 tsy3
付諸實施	fu5 tsy9 zeq9 sy3
付诸	fu5 tsy3
付诸实施	fu5 tsy9 zeq9 sy3
付費	fu5 fi3
付费	fu5 fi3
仙丹	si5 te3
仙人	si5 gnin3
仙人掌	si5 zen9 tsaon3
仙器	si5 chi3
仙境	si5 cin3
仙女	si5 gniu3
仙姑	si5 ku3
仙子	si5 tsy3
仙家	si5 ka3
仙山	si5 se3
仙桃	si5 dau3
仙桃市	si5 dau9 zy3
仙樂	si5 loq3
仙气	si5 chi3
仙氣	si5 chi3
仙草	si5 tshau3
仙都	si5 tu3
仙鶴	si5 ngoq3
仙鹤	si5 ngoq3
仡佬族	gniq2 lau4 zoq4
代为	de2 we4
代主任	de2 tsy4 zen4
代代相传	de2 de4 sian4 zoe4
代代相傳	de2 de4 sian4 zoe4
代价	de2 geq4
代偿	de2 zaon4
代價	de2 ka4
代償	de2 zaon4
代办	de2 be4
代号	de2 ghau4
代名詞	de2 min4 zy4
代名词	de2 min4 zy4
代数	de2 su4
代数学	de2 su4 ghoq4
代数方程	de2 su4 faon4 zen4
代數	de2 su4
代數學	de2 su4 ghoq4
代數方程	de2 su4 faon4 zen4
代替	de2 thi4
代爲	de2 we4
代理	de2 li4
代理人	de2 li4 zen4
代理商	de2 li4 saon4
代码	de2 mo4
代碼	de2 mo4
代称	de2 tshen4
代稱	de2 tshen4
代管	de2 kuoe4
代耕	de2 ken4
代號	de2 ghau4
代行	de2 yin4
代表	de2 piau4
代表人	de2 piau4 zen4
代表作	de2 piau4 tsoq4
代表作品	de2 piau4 tsoq4 phin4
代表团	de2 piau4 doe4
代表團	de2 piau4 doe4
代表处	de2 piau4 tshy4
代表大会	de2 piau4 du4 khue4
代表大會	de2 piau4 du4 khue4
代表性	de2 piau4 sin4
代表處	de2 piau4 tshy4
代表队	de2 piau4 de4
代表隊	de2 piau4 de4
代言	de2 yi4
代言人	de2 yi4 zen4
代詞	de2 zy4
代課	de2 khu4
代謝	de2 zia4
代議制	de2 gni4 tsy4
代议制	de2 gni4 tsy4
代词	de2 zy4
代课	de2 khu4
代谢	de2 zia4
代辦	de2 be4
代銷	de2 siau4
代销	de2 siau4
令人	lin2 gnin4
令人不安	lin2 zen4 peq4 oe4
令人信服	lin2 zen4 sin4 voq4
令人担忧	lin2 zen4 te4 ieu4
令人擔憂	lin2 zen4 te4 ieu4
令人满意	lin2 zen4 moe4 i4
令人滿意	lin2 zen4 moe4 i4
令人瞩目	lin2 zen4 tsoq4 moq4
令人矚目	lin2 zen4 tsoq4 moq4
令人羡慕	lin2 zen4 zi4 mu4
令人羨慕	lin2 zen4 zi4 mu4
令兄	lin2 shion4
令其	lin2 ji4
令孫	lin2 sen4
令尊	lin2 tsen4
令愛	lin2 e4
令旗	lin2 ji4
令爱	lin2 e4
令牌	lin2 ba4
令狐	lin2 wu4
令狐兄	lin2 wu4 shion4
令狐公子	lin2 wu4 kon4 tsy4
令狐冲	lin2 wu4 tshon4
令狐冲心	lin2 wu4 tshon4 sin4
令狐冲笑	lin2 wu4 tshon4 siau4
令狐大哥	lin2 wu4 du4 ku4
令狐掌門	lin2 wu4 tsaon4 men4
令狐掌门	lin2 wu4 tsaon4 men4
令狐衝	lin2 wu4 tshon4
令狐衝心	lin2 wu4 tshon4 sin4
令狐衝笑	lin2 wu4 tshon4 siau4
令箭	lin2 tsi4
令聞	lin2 ven4
令郎	lin2 laon4
以上	i5 zaon3
以上者	i5 zaon9 tse3
以下	i5 gho3
以东	i5 ton3
以为	i5 we3
以人为本	i5 zen9 we9 pen3
以人爲本	i5 zen9 we9 pen3
以來	i5 le3
以便	i5 bi3
以備	i5 be3
以免	i5 mi3
以內	i5 ne3
以其	i5 ji3
以内	i5 ne3
以军	i5 ciun3
以利	i5 li3
以前	i5 zi3
以勿所	i5 veq9 su3
以北	i5 poq3
以南	i5 noe3
以及	i5 jiq3
以后	i5 gheu3
以图	i5 du3
以圖	i5 du3
以备	i5 be3
以外	i5 nga3
以大	i5 da3
以太	i5 tha3
以己之心度人之心	i5 ci9 tsy9 sin9 doq9 zen9 tsy9 sin3
以己度人	i5 ci9 doq9 zen3
以巴	i5 pa3
以往	i5 uaon3
以待	i5 de3
以後	i5 gheu3
以期	i5 ji3
以权谋私	i5 jioe9 meu9 sy3
以来	i5 le3
以東	i5 ton3
以權謀私	i5 jioe9 meu9 sy3
以此	i5 tshy3
以求	i5 jieu3
以法	i5 faq3
以爲	i5 we3
以牙还牙	i5 nga9 ghe9 nga3
以牙還牙	i5 nga9 ghe9 nga3
以示	i5 zy3
以礼相待	i5 li9 sian9 de3
以禮相待	i5 li9 sian9 de3
以至	i5 tsy3
以至于	i5 tsy9 yu3
以至於	i5 tsy9 yu3
以致	i5 tsy3
以色列	i5 seq9 liq3
以西	i5 si3
以解	i5 cia3
以說	i5 seq3
以身作则	i5 sen9 tsoq9 tseq3
以身作則	i5 sen9 tsoq9 tseq3
以軍	i5 ciun3
以逸待劳	i5 yiq9 de9 lau3
以逸待勞	i5 yiq9 de9 lau3
以防	i5 vaon3
以降	i5 kaon3
仪仗	gni2 tsan4
仪仗队	gni2 tsan4 de4
仪器	gni2 chi4
仪式	gni2 seq4
仪征	gni2 tsen4
仪礼	gni2 li4
仪表	gni2 piau4
仰仗	knian5 zan3
仰光	knian5 kuaon3
仰卧	knian5 ngu3
仰天	knian5 thi3
仰天大笑	knian5 thi9 du9 siau3
仰头	knian5 deu3
仰式	knian5 seq3
仰慕	knian5 mu3
仰承	knian5 zen3
仰拍	knian5 phaq3
仰望	knian5 maon3
仰止	knian5 tsy3
仰泳	knian5 ion3
仰看	knian5 khoe3
仰着	knian5 zaq3
仰臉	knian5 li3
仰臥	knian5 ngu3
仰視	knian5 zy3
仰视	knian5 zy3
仰角	knian5 koq3
仰賴	knian5 la3
仰起	knian5 chi3
仰靠	knian5 khau3
仰面	knian5 mi3
仰韶	knian5 zau3
仰韶文化	knian5 zau9 ven9 hua3
仰頭	knian5 deu3
仰首	knian5 seu3
仰高	knian5 kau3
仲介	zon2 ka4
仲夏	zon2 gho4
仲尼	zon2 gni4
仲裁	zon2 ze4
仲裁员	zon2 ze4 yoe4
仲裁員	zon2 ze4 yoe4
价位	geq2 we4
价值	geq2 zeq4
价值形式	geq2 zeq4 yin4 seq4
价值观	geq2 zeq4 kuoe4
价值规律	geq2 zeq4 kue4 liq4
价值连城	geq2 zeq4 li4 zen4
价值量	geq2 zeq4 lian4
价格	geq2 kaq4
价格战	geq2 kaq4 tsoe4
价格比	geq2 kaq4 pi4
价款	geq2 khue4
价码	geq2 mo4
价钱	geq2 zi4
任一	zen2 iq4
任事	zen2 zy4
任何	zen2 wu4
任何人	zen2 wu4 zen4
任克礼	zen2 kheq4 li4
任克禮	zen2 kheq4 li4
任免	zen2 mi4
任免权	zen2 mi4 jioe4
任免權	zen2 mi4 jioe4
任內	zen2 ne4
任其	zen2 ji4
任内	zen2 ne4
任凭	zen2 bin4
任前	zen2 zi4
任务	zen2 wu4
任務	zen2 vu4
任取	zen2 tshiu4
任君	zen2 cion4
任命	zen2 min4
任官	zen2 kuoe4
任弼时	zen2 biq4 zy4
任弼時	zen2 biq4 zy4
任性	zen2 sin4
任情	zen2 zin4
任意	zen2 i4
任意球	zen2 i4 jieu4
任憑	zen2 bin4
任教	zen2 ciau4
任新民	zen2 sin4 min4
任期	zen2 ji4
任氣	zen2 chi4
任爲	zen2 we4
任用	zen2 yon4
任由	zen2 yeu4
任縣	zen2 yoe4
任职	zen2 tseq4
任職	zen2 tseq4
任脈	zen2 maq4
任脉	zen2 maq4
任茂东	zen2 meu4 ton4
任茂東	zen2 meu4 ton4
任課	zen2 khu4
任课	zen2 khu4
任賢齊	zen2 yi4 zi4
任贤齐	zen2 yi4 zi4
任选	zen2 si4
任選	zen2 si4
任飛燕	zen2 fi4 i4
任飞燕	zen2 fi4 i4
份儿	ven2 gni4
份兒	ven2 gni4
份內	ven2 ne4
份外	ven2 nga4
份子	ven2 tsy4
份量	ven2 lian4
份額	ven2 ngaq4
份额	ven2 ngaq4
仿佛	faon5 veq3
仿冒	faon5 mau3
仿制	faon5 tsy3
仿古	faon5 ku3
仿宋	faon5 son3
仿效	faon5 yau3
仿照	faon5 tsau3
仿生	faon5 sen3
仿真	faon5 tsen3
仿製	faon5 tsy3
仿造	faon5 zau3
企业	chi5 gniq3
企业主	chi5 gniq9 tsy3
企业家	chi5 gniq9 ka3
企业界	chi5 gniq9 ka3
企事业	chi5 zy9 gniq3
企事業	chi5 zy9 gniq3
企划	chi5 gho3
企劃	chi5 waq3
企图	chi5 du3
企圖	chi5 du3
企望	chi5 maon3
企業	chi5 gniq3
企業主	chi5 gniq9 tsy3
企業家	chi5 gniq9 ka3
企業界	chi5 gniq9 ka3
企求	chi5 jieu3
企盼	chi5 phe3
企鵝	chi5 ngu3
企鹅	chi5 ngu3
伊万	yi2 moq4
伊万诺夫	yi2 moq4 noq4 fu4
伊丽莎白	yi2 li4 sa4 baq4
伊人	i5 gnin3
伊仔	i5 tsy3
伊來付	yi2 le4 fu4
伊個	yi2 gheq4
伊克昭盟	yi2 kheq4 tsau4 men4
伊凡	yi2 ve4
伊利	yi2 li4
伊哥	yi2 ku4
伊妹	yi2 me4
伊始	i5 sy3
伊寧	i5 gnin3
伊尔	yi2 er4
伊尹	i5 yin3
伊川	i5 tshoe3
伊想	yi2 sian4
伊拉	yi2 lha4
伊拉個	yi2 lha4 gheq4
伊拉克	yi2 lha4 kheq4
伊斯兰	yi2 sy4 le4
伊斯兰堡	yi2 sy4 le4 pau4
伊斯兰教	yi2 sy4 le4 kau4
伊斯兰教协会	yi2 sy4 le4 kau4 yaq4 khue4
伊斯坦布尔	yi2 sy4 the4 pu4 er4
伊斯坦布爾	yi2 sy4 the4 pu4 er4
伊斯特	yi2 sy4 deq4
伊斯蘭	yi2 sy4 le4
伊斯蘭堡	yi2 sy4 le4 pau4
伊斯蘭教	yi2 sy4 le4 kau4
伊斯蘭教協會	yi2 sy4 le4 kau4 yaq4 khue4
伊春	i5 tshen3
伊是	i5 zy3
伊朗	i5 laon3
伊朗人	yi2 laon4 zen4
伊朗队	yi2 laon4 de4
伊朗隊	yi2 laon4 de4
伊東	i5 ton3
伊比利亚	yi2 pi4 li4 ia4
伊比利亞	yi2 pi4 li4 ia4
伊爾	yi2 er4
伊犁	i5 li3
伊犁河	yi2 li4 wu4
伊玛目	yi2 ma4 moq4
伊瑪目	yi2 ma4 moq4
伊紅	i5 ghon3
伊索	i5 soq3
伊萬	yi2 ve4
伊萬諾夫	yi2 ve4 noq4 fu4
伊藤博文	yi2 den4 poq4 ven4
伊要是	yi2 iau4 zy4
伊面	i5 mi3
伊麗莎白	yi2 li4 sa4 baq4
伍佰	wu2 paq4
伍增榮	wu2 tsen4 yon4
伍增荣	wu2 tsen4 yon4
伍子胥	wu2 tsy4 si4
伍家岗区	wu2 ka4 kaon4 chiu4
伍家崗區	wu2 ka4 kaon4 chiu4
伍廷芳	wu2 din4 faon4
伎俩	ji2 lian4
伎倆	ji2 lian4
伏下	voq2 gho4
伏侍	bu2 zy4
伏兵	voq2 pin4
伏击	bu2 ciq4
伏在	voq2 ze4
伏地	voq2 di4
伏天	voq2 thi4
伏太陽	bu2 tha4 yan4
伏小雞	bu2 siau4 ci4
伏尔加	bu2 er4 ka4
伏尔加河	bu2 er4 ka4 wu4
伏尔泰	bu2 er4 tha4
伏擊	voq2 ciq4
伏旱	voq2 ghoe4
伏明霞	bu2 min4 ia4
伏案	voq2 oe4
伏汛	voq2 sin4
伏法	voq2 faq4
伏流	voq2 lieu4
伏爾加	bu2 er4 ka4
伏爾加河	bu2 er4 ka4 wu4
伏爾泰	bu2 er4 tha4
伏牛	bu2 gnieu4
伏牛山	bu2 gnieu4 se4
伏特	voq2 deq4
伏着	voq2 zaq4
伏笔	bu2 piq4
伏筆	voq2 piq4
伏罪	voq2 zoe4
伏羲	voq2 shi4
伏虎	voq2 hu4
伏蛋	bu2 de4
伏裏	voq2 li4
伏誅	voq2 tsy4
伏貼	voq2 thiq4
伏魔	voq2 mu4
伐木	vaq2 moq4
伐樹	vaq2 zy4
休伊特	shieu5 yi9 deq3
休假	shieu5 ka3
休克	shieu5 kheq3
休兵	shieu5 pin3
休养	shieu5 yan3
休养生息	shieu5 yan9 san9 siq3
休刊	shieu5 khe3
休妻	shieu5 tshi3
休姆	shieu5 mh3
休学	shieu5 ghoq3
休學	shieu5 ghoq3
休市	shieu5 zy3
休息	shieu5 siq3
休息区	shieu5 siq9 chiu3
休息區	shieu5 siq9 chiu3
休息室	shieu5 siq9 seq3
休息日	shieu5 siq9 zeq3
休想	shieu5 sian3
休憩	shieu5 chi3
休战	shieu5 tsoe3
休戚	shieu5 tshiq3
休戰	shieu5 tsoe3
休提	shieu5 di3
休整	shieu5 tsen3
休斯	shieu5 sy3
休斯敦	shieu5 sy9 ten3
休會	shieu5 we3
休業	shieu5 gniq3
休歇	shieu5 shiq3
休止	shieu5 tsy3
休漁	shieu5 yu3
休班	shieu5 pe3
休眠	shieu5 mi3
休耕	shieu5 ken3
休謨	shieu5 mu3
休閒	shieu5 ghe3
休闲	shieu5 yi3
休養	shieu5 yan3
休養生息	shieu5 yan9 san9 siq3
众人	tson5 zen3
众叛亲离	tson5 boe9 tshin9 li3
众口	tson5 kheu3
众口一词	tson5 kheu9 iq9 zy3
众多	tson5 tu3
众家	tson5 ka3
众将	tson5 tsian3
众所周知	tson5 su9 tseu9 tsy3
众星捧月	tson5 sin9 phon9 yoq3
众望所归	tson5 maon9 su9 kue3
众生	tson5 san3
众目睽睽	tson5 moq9 gue9 gue3
众议员	tson5 gni9 yoe3
众议院	tson5 gni9 yoe3
众说纷纭	tson5 seq9 fen9 yun3
优于	ieu5 yu3
优伶	ieu5 lin3
优先	ieu5 si3
优先权	ieu5 si9 jioe3
优劣	ieu5 liq3
优势	ieu5 sy3
优化	ieu5 hua3
优厚	ieu5 gheu3
优孟	ieu5 man3
优异	ieu5 yi3
优待	ieu5 de3
优惠	ieu5 we3
优柔寡断	ieu5 zeu9 kua9 doe3
优点	ieu5 ti3
优秀	ieu5 sieu3
优种	ieu5 zon3
优美	ieu5 mhe3
优胜	ieu5 sen3
优胜劣汰	ieu5 sen9 liq9 tha3
优胜者	ieu5 sen9 tse3
优良	ieu5 lian3
优裕	ieu5 yu3
优质	ieu5 tseq3
优越	ieu5 yoq3
优越性	ieu5 yoq9 sin3
优越感	ieu5 yoq9 koe3
优选	ieu5 si3
优雅	ieu5 ia3
伙伴	hu5 boe3
伙夫	hu5 fu3
伙房	hu5 faon3
伙计	hu5 ci3
伙食	hu5 zeq3
伙食费	hu5 zeq9 fi3
会上	khue5 zaon3
会众	khue5 tson3
会儿	khue5 gni3
会党	khue5 taon3
会前	khue5 zi3
会合	khue5 gheq3
会同	khue5 don3
会后	khue5 gheu3
会员	khue5 yoe3
会员国	khue5 yoe9 koq3
会商	khue5 saon3
会场	khue5 zan3
会址	khue5 tsy3
会宁	khue5 zy3
会审	khue5 sen3
会客室	khue5 khaq9 seq3
会展	khue5 tsoe3
会师	khue5 sy3
会心	khue5 sin3
会意	khue5 i3
会战	khue5 tsoe3
会晤	khue5 ngu3
会期	khue5 ji3
会标	khue5 piau3
会派	khue5 pha3
会演	khue5 i3
会盟	khue5 men3
会社	khue5 zo3
会考	khue5 khau3
会聚	khue5 ziu3
会见	khue5 ci3
会计	khue5 ci3
会计学	khue5 ci9 ghoq3
会计师	khue5 ci9 sy3
会议	khue5 gni3
会议室	khue5 gni9 seq3
会诊	khue5 tsen3
会试	khue5 sy3
会谈	khue5 de3
会费	khue5 fi3
会通	khue5 thon3
会长	khue5 tsan3
会集	khue5 ziq3
会面	khue5 mi3
会餐	khue5 tshoe3
会馆	khue5 kuoe3
伞兵	se5 pin3
伞盖	se5 ke3
伟业	we2 gniq4
伟人	we2 zen4
伟哥	we2 ku4
伟大	we2 du4
伟晶岩	we2 tsin4 nge4
传世	zoe2 sy4
传中	zoe2 tson4
传人	zoe2 zen4
传令	zoe2 lin4
传入	zoe2 zeq4
传出	zoe2 tsheq4
传到	zoe2 tau4
传动	zoe2 don4
传单	zoe2 te4
传呼	zoe2 hu4
传唤	zoe2 huoe4
传唱	zoe2 tshaon4
传回	zoe2 we4
传奇	zoe2 ji4
传媒	zoe2 me4
传导	zoe2 dau4
传布	zoe2 pu4
传开	zoe2 khe4
传感器	zoe2 koe4 chi4
传扬	zoe2 yan4
传承	zoe2 zen4
传抄	zoe2 tshau4
传授	zoe2 zeu4
传播	zoe2 pu4
传播者	zoe2 pu4 tse4
传教	zoe2 kau4
传教士	zoe2 kau4 zy4
传来	zoe2 le4
传染	zoe2 zoe4
传染性	zoe2 zoe4 sin4
传染病	zoe2 zoe4 bin4
传热	zoe2 gniq4
传球	zoe2 jieu4
传真	zoe2 tsen4
传神	zoe2 zen4
传给	zoe2 ciq4
传统	zoe2 thon4
传言	zoe2 yi4
传讯	zoe2 sin4
传记	zoe2 ci4
传译	zoe2 yiq4
传话	zoe2 wa4
传说	zoe2 seq4
传诵	zoe2 son4
传输	zoe2 sy4
传达	zoe2 daq4
传送	zoe2 son4
传递	zoe2 di4
传遍	zoe2 pi4
传销	zoe2 siau4
传闻	zoe2 men4
伢兒	nga2 er4
伤亡	saon5 maon3
伤人	saon5 zen3
伤俘	saon5 fu3
伤兵	saon5 pin3
伤势	saon5 sy3
伤及	saon5 jiq3
伤口	saon5 kheu3
伤员	saon5 yoe3
伤处	saon5 tshy3
伤天害理	saon5 thi9 ghe9 li3
伤害	saon5 ghe3
伤寒	saon5 ghoe3
伤心	saon5 sin3
伤心地	saon5 sin9 di3
伤情	saon5 zin3
伤愈	saon5 yu3
伤感	saon5 koe3
伤残	saon5 ze3
伤疤	saon5 pa3
伤病	saon5 bin3
伤痕	saon5 ghen3
伤痛	saon5 thon3
伤者	saon5 tse3
