ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
You can help expand this system by creating templates for your language. Categories have already been created for most languages which have editions of Wikipedia containing over a hundred articles; they just need labelling up! It's recommended to copy the English or French versions when expanding the scheme, as most of the languages listed here are incomplete.	jˈuː kʰˈæn hˈɛɫp ɪkspˈænd ðˈɪs sˈɪstəm bˈaᶦ kɹiʲˈeᶦt̬ɪŋ tʰˈɛmpləts fˈɔːɹ jˈɔːɹ lˈæŋɡwəd͡ʒ . kʰˈæt̬əɡˌɔːɹiz hˈæv ɔːɫɹˈɛd̬i bˈɪn kɹiʲˈeᶦt̬ᵻd fˈɔːɹ mˈoᶷst lˈæŋɡwəd͡ʒəz wˈɪt͡ʃ hˈæv ɪdˈɪʃənz ˈʌv wˈɪkipʰˌiːd̬ˌiːʲə kəntˈeᶦnɪŋ ˈoᶷvɚ ˈə hˈʌndɹəd ˈɑːɹt̬əkəɫz , ðˈeᶦ d͡ʒˈʌst nˈiːd ləbˈɛlɪŋ ˈʌp ! ˈɪts ɹˌɛkəmˈɛndᵻd tʰˈuː kʰˈɑːpi ðˈə ˈɪŋɡlɪʃ ˈɔːɹ fɹˈɛnt͡ʃ vˈɝʒənz wˈɛn ɪkspˈændɪŋ ðˈə skˈiːm , ˈæz mˈoᶷst ˈʌv ðˈə lˈæŋɡwəd͡ʒəz lˈɪstᵻd hˈɪɹ ˈɑːɹ ˌɪŋkəmplˈiːt .
There are other options for achieving results the same as or similar to the standard Babel-X template above.	ðˈɛɹ ˈɑːɹ ˈʌðɚ ˈɑːpʃənz fˈɔːɹ ət͡ʃˈiːvɪŋ ɹᵻzˈʌɫts ðˈə sˈeᶦm ˈæz ˈɔːɹ sˈɪməlɚ tʰˈuː ðˈə stˈændɚd bˈæbəɫ ˈɛks tʰˈɛmplət əbˈʌv .
You can use top and bottom templates to make the box. Format: .	jˈuː kʰˈæn jˈuːs tʰˈɑːp ˈənd bˈɑːt̬əm tʰˈɛmpləts tʰˈuː mˈeᶦk ðˈə bˈɑːks . fˈɔːɹmæt .
Common Locale Data Repository (CLDR) for Cherokee / Tsalagi. 2010.	kʰˈɑːmən loᶷkʰˈæɫ dˈeᶦt̬ə ɹipʰˈɑːzət̬ˌɔːɹi sˈiː ˈɛɫ dˈiː ˈɑːɹ fˈɔːɹ t͡ʃˈɛɹəkʰˌiː tsˈæləɡˌɪ . tʰali ijakajə̃li skohi .
Cowen, Agnes Spade ᎠᎴ Jane B. Noble. Contemporary Cherokee Language Book. ᏔᎵᏏᎢ, ᎣᎦᎳᎰᎹ: Cross-Cultural Education Center, 1996.	kʰˈaᶷən , ˈæɡnɪs spˈeᶦd ale d͡ʒˈeᶦn bˈiː . nˈoᶷbəɫ . kəntˈɛmpɚˌɛɹi t͡ʃˈɛɹəkʰˌiː lˈæŋɡwəd͡ʒ bˈʊk . tʰalisii , okalahoma , kɹˈɔːs kʰˈʌɫt͡ʃɚəɫ ˌɛd͡ʒəkʰˈeᶦʃən sˈɛntɚ , ijakajə̃li sonelaskohit͡sikʷa sonelasko sutali .
ᏗᎧᏃᎩᏛ Ꭰ, National Museum of American History	tikʰanokitə̃ a , nˈæʃənəɫ mjuːzˈiːʲəm ˈʌv əmˈɛɹəkən hˈɪstɚi
Quechua, ᎠᏥᏂᏘᏂᎠ, ᏉᎵᏫᎠ, ᎪᎸᎻᏈᎢᎠ, ᏥᎵ, ᎡᏆᏙᎵ, ᎠᎴ ᏇᎷ	kwˈɛt͡ʃuːə , at͡sinitʰinia , kʷoliwia , kolə̃mikʷiia , t͡sili , ekʷatoli , ale kʷelu
ᏅᏓ ᎠᏰᎵ ᏅᏓ ᎠᎴ ᏚᏓᏕᏫᏍᏛ, (nvda ale dudadewisdv) ᏅᏓ ᏃᎴ ᏚᏓᏕᏫᏍᏛ (nvda nole dudadewisdv) ᎣᎦᏤᎵ solar ᎢᏯᏛᏁᎵᏓᏍᏗ ᏣᏁᎳ ᏤᎶᎯ ᎠᎴ ᏌᏊ ᎤᏍᏗ ᏤᎶᎯ: ᏐᏁᎵᏁ.	nə̃ta ajeli nə̃ta ale tutatewistə̃ , ˈɛnvdeᶦ ˈeᶦɫ duːdˈædwɪzdv nə̃ta nole tutatewistə̃ ˈɛnvdeᶦ nˈoᶷɫ duːdˈædwɪzdv okat͡seli sˈoᶷlɚ ijatə̃nelitasti t͡sanela t͡selohi ale sakʷu usti t͡selohi , soneline .
ᎢᎾᎨ ᎡᎯ ᏒᎩ — Allium canadense ᎠᎴ Allium vineale	inake ehi sə̃ki , ˈæliʲəm kʰˈænəd̬ˌɛns ale ˈæliʲəm vˈɪniɫ
ᎤᎦᎾᏍᏔ - Muhlenbergia filipes ᎠᎴ Hierochloe odorata	ukanastʰa mˌuːlənbˈɝd͡ʒiʲə fˈɪlɪps ale hˈaᶦɹoᶷklˌoᶷ ˌoᶷd̬ɔːɚˈɑːt̬ə
ᎩᎦᎨ ᎤᏆᎫᏫᏂᏗᏧ (ᏲᏪᎤᏤᏍᏗ, ᏲᏅᎤᏤᏍᏘ , ᎦᎵ) – Polystichum acrostichoides	kikake ukʷakuwinitit͡su joweut͡sesti , jonə̃ut͡sestʰi , kali , pʰˌɑːliːstˈɪkəm əkɹˈɔːstəkʃˌɔᶦdz
ᎼᏊᏒᏚ (ᎢᎥᏊᏌᏜᏙᏃ) - Terintum alumum (Capala eolina)	mokʷusə̃tu iə̃kʷusat͡ɬatono tɚˈɪntəm əlˈuːməm kɑːpʰˈɑːlə ˌiːʲəlˈaᶦnə
ᏊᏒᏓᏝᎳ - Stepphocus eldorados, Jebbnium laganium, ᎠᎴ Cascada podata	kʷusə̃tat͡ɬala stˈɛpfoᶷkəs ˌɛɫdɚˈɑːd̬oᶷz , d͡ʒˈɛbniʲəm ləɡˈeᶦniʲəm , ale kɑːskˈɑːd̬ə poᶷdˈɑːt̬ə
ᏗᎵᎦᎵᏍᎩ ᎩᎦᎨ ᎤᎿᏍᏕᏜ ᏰᎵᏊ ᏱᎩ Ceanothus Americanus	tilikaliski kikake uhnastet͡ɬa jelikʷu jiki sˈænəθəs əmˈɛɹəkənəs
Banks, William H., Jr. Plants of the Cherokee. Gatlinburg, ᏔᎾᏏ: Great Smoky Mountains Association, 2004. ISBN 0-937207-43-8.	bˈæŋks , wˈɪɫjəm ˈeᶦt͡ʃ , d͡ʒˈuːnjɚ . plˈænts ˈʌv ðˈə t͡ʃˈɛɹəkʰˌiː . ɡˈætlɪnbɚɡ , tʰanasi , ɡɹˈeᶦt smˈoᶷki mˈaᶷntənz əsˌoᶷsiʲˈeᶦʃən , tʰali ijakajə̃li nə̃ki . ˌaᶦˌɛsbiːʲˈɛn notʰi sonelaskohit͡sikʷa t͡sosko kalikʷoki ijakajə̃li tʰaliskohit͡sikʷa kalikʷoki nə̃kisko t͡soi t͡sanela .
ᏍᏆᏂᏤᏍᏛᎢ ᎠᎴ ᏄᎺᏏᎪ ᎠᎴ ᎺᏏᎪᎢᏤᏍᏛᎢ (ᏄᏲᎩ, ᎠᏂᏍᏆᏂᎢ, New Mexico, Nuevo México, Yootó Hahoodzo) ᎦᏚᎲᎢ ᎡᏉ ᏄᏲᎪᎢ, ᏄᏲᎩ, ᎠᎹᏰᏟ.	skʷanit͡sestə̃i ale numesiko ale mesikoit͡sestə̃i nujoki , aniskʷanii , nˈuː mˈɛksəkʰˌoᶷ , nwˈeᶦvoᶷ mˈɛksəkʰˌoᶷ , jˈuːt hˈɑːhuːdzoᶷ katuhə̃i ekʷo nujokoi , nujoki , amajet͡ɬi .
Dominique Catllus, also recognized as the common cow, are large domesticated mammals found mostly in North America. Large female cows are also known as Dominique Selezer Cattlus.	dɔːmɪnˈiːk kʰˈætləs , ˈɔːɫsoᶷ ɹˈɛkəɡnˌaᶦzd ˈæz ðˈə kʰˈɑːmən kʰˈaᶷ , ˈɑːɹ lˈɑːɹd͡ʒ dəmˈɛstəkʰˌeᶦt̬ᵻd mˈæməɫz fˈaᶷnd mˈoᶷstli ˈɪn nˈɔːɹθ əmˈɛɹəkə . lˈɑːɹd͡ʒ fˈiːmeᶦɫ kʰˈaᶷz ˈɑːɹ ˈɔːɫsoᶷ nˈoᶷn ˈæz dɔːmɪnˈiːk sᵻlˈɛzɛɹ kʰˈæt̬ələs .
Annual report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution (1897/98: pt.1), ᎢᎦᎢ ᎨᏐ ᎯᎠ ᎢᏰᎵᏍᏗᎢ ᎯᎠ ᏣᎳᎩ, ᎾᎥᎢ James Mooney	ˈænjuːəɫ ɹipʰˈɔːɹt ˈʌv ðˈə bjˈʊɹoᶷ ˈʌv ɛθnˈɑːləd͡ʒi tʰˈuː ðˈə sˈɛkɹət̬ˌɛɹi ˈʌv ðˈə smɪθsˈoᶷniʲən ˌɪnstɪtʰˈuːʃən ijakajə̃li nelaskohit͡sikʷa sonelasko kalikʷoki sonelasko t͡sanela , t . sakʷu , ikai keso hia ijelistii hia t͡salaki , naə̃i d͡ʒˈeᶦmz mˈuːni
ᏅᏯ ᎠᏍᏓᏯ. ᎡᎶᎯ ᎦᏚᎢ (lithosphere) ᎾᏍᎩ ᎤᎪᏗᏗ ᏅᏯ. Sedimentary ᎠᎾᏅᏯ ᎤᎪᏗᏗ ᎡᎶᎯ ᎦᏚᎢ (ᏝᏬᏚ ᎠᎾᏅᏯ 65%, ᏃᏱ ᎠᎾᏅᏯ 20–25%, ᎠᎴ carbonate ᎠᎾᏅᏯ 10–15% (e. g. ᎪᏍᏚ ᎤᏁᎬ ᏅᏯ).	nə̃ja astaja . elohi katui lˈɪθəsfˌɪɹ naski ukotiti nə̃ja . sˌɛd̬əmˈɛntɚi ananə̃ja ukotiti elohi katui t͡ɬawotu ananə̃ja sutalisko hiski , noji ananə̃ja tʰaliskohi , tʰalisko hiski , ale kʰˈɑːɹbənˌeᶦt ananə̃ja skohi , skikatu ˈiː . d͡ʒˈiː . kostu unekə̃ nə̃ja .
ᏧᏁᏍᏓᎸ ᎯᏍᎩᏁ-ᎤᏔᎾᎢᏍᏗ ᎡᏆ ᎦᏙᎯ. ᎾᎥᏂᎨᏍᏙᏗᏊ ᎢᏯᎦᏴᎵ ᎠᏂᏴᏫ ᎢᎬᏱᏊ ᎦᏰᎯ ᏧᏁᏍᏓᎸ-Ꭿ ᎠᏁᎯ. ᎤᎦᎾᏭ ᎠᎺᏉᎯ ᏧᏁᏍᏓᎸ ᏓᎦᏚᏫᏍᏔᏅ. ᏂᎪᎯᎸ ᎤᏁᏍᏓᎳ 98% ᎦᏙᎯ ᏗᏚᏝᎢ. ᏧᏁᏍᏓᎸ ᎤᎪᏗᏗ ᎤᏴᏣ, ᎤᎧᏲᏗ, ᎠᎴ ᎦᏃᎴᏍᎩ ᎡᏆ ᎦᏙᎯ. ᏂᎬᎢ 14,000,000 km².	t͡sunestalə̃ hiskine utʰanaisti ekʷa katohi . naə̃nikestotikʷu ijakajə̃li anijə̃wi ikə̃jikʷu kajehi t͡sunestalə̃ hi anehi . ukanawu amekʷohi t͡sunestalə̃ takatuwistʰanə̃ . nikohilə̃ unestala sonelasko t͡sanela katohi titut͡ɬai . t͡sunestalə̃ ukotiti ujə̃t͡sa , ukʰajoti , ale kanoleski ekʷa katohi . nikə̃i sakʷu nə̃ki notʰi notʰi notʰi notʰi notʰi notʰi kʰˈeᶦəm skwˈɛɹd .
